,id,name,gpa,field_of_study,income
533,S00534,Christopher Moore,2.88,Political Science,81752
534,S00535,Rebecca Harvey,3.65,Music,186864
535,S00536,Jill Collins,2.63,Economics,32494
536,S00537,Jocelyn Stewart,3.57,Statistics,149594
537,S00538,Krista Munoz,2.56,Engineering,181269
538,S00539,Billy Carter,2.97,Physics,281662
539,S00540,Matthew Duran,3.61,Statistics,510500
540,S00541,Mary Buchanan,3.47,Mathematics,526473
541,S00542,Renee Smith,3.17,Music,550797
542,S00543,Tina Washington,3.36,Computer Science,784628
543,S00544,Edward Moore,2.99,Art,295701
544,S00545,Chad Wilson,3.0,Biology,92454
545,S00546,Nancy Leblanc,2.74,Political Science,753139
546,S00547,Dawn Russell,2.53,Psychology,394312
547,S00548,Deborah Butler,2.78,Political Science,394042
548,S00549,Benjamin Davis,3.42,Business Administration,22270
549,S00550,Joshua Jenkins,2.16,Music,714339
550,S00551,Kathleen Jackson,3.73,Business Administration,406343
551,S00552,Christopher Robertson,2.93,Statistics,664920
552,S00553,Jeanette West,2.4,Art,505971
553,S00554,Susan Garrett,2.44,Biology,199303
554,S00555,Brenda Robinson,3.14,Chemistry,39558
555,S00556,Sarah Dixon,2.13,Computer Science,206723
556,S00557,April Ellis,2.52,Mathematics,176618
557,S00558,Martin Hamilton,3.16,Biology,524246
558,S00559,Desiree Sullivan,3.4,Political Science,54413
559,S00560,Alicia Griffith,2.52,Biology,702677
560,S00561,Matthew Thompson,3.56,Engineering,483830
561,S00562,Kenneth Nguyen,2.69,Paralegal,710244
562,S00563,Cynthia Williams,3.3,Political Science,583406
563,S00564,Dale Graham,3.73,Law,269644
564,S00565,Alison Gutierrez,2.13,Business Administration,756746
565,S00566,Kayla Mullen,3.06,Art,163038
566,S00567,Robin Robertson,3.65,Music,719638
567,S00568,Rebecca Jennings,2.08,Law,484786
568,S00569,David Willis,2.43,Mathematics,600310
569,S00570,John Guerra,2.7,Engineering,325226
570,S00571,Cynthia Dominguez,3.6,Anthropology,42096
571,S00572,Steven Kaiser,2.97,Mathematics,136494
572,S00573,Christina Martin,2.09,Biology,251675
573,S00574,Douglas Rogers,3.57,Physics,597206
574,S00575,Patricia Watkins,2.61,Mathematics,353980
575,S00576,Debbie Zavala,3.8,Art,124417
576,S00577,Kyle Carson,2.15,Biology,626382
577,S00578,Charles Cabrera,3.56,Chemistry,413549
578,S00579,Vicki Howard,2.1,Law,483965
579,S00580,Mark Goodwin,3.75,Law,284199
580,S00581,Douglas Liu,2.74,Business Administration,170637
581,S00582,Taylor Hale,2.95,Anthropology,165782
582,S00583,Janice Ortiz,3.95,Anthropology,683829
583,S00584,Shawn Jones,2.25,Business Administration,557397
584,S00585,Vincent Baker,2.51,Anthropology,135478
585,S00586,Arthur Bruce,2.13,Engineering,521005
586,S00587,Christy Sweeney,2.26,Anthropology,395317
587,S00588,Darrell Williams,3.39,Engineering,585372
588,S00589,Christine Fields,3.18,Music,55006
589,S00590,Alexis Rollins,2.52,Physics,305787
590,S00591,Robin Vega,3.55,Psychology,305231
591,S00592,Mary Elliott,2.5,Music,533724
592,S00593,Darren Smith,2.92,Biology,108665
593,S00594,Brittany Ortega,3.71,Chemistry,411407
594,S00595,Brooke Anderson,3.69,Paralegal,427480
595,S00596,Shawn Cook,2.17,Psychology,190788
596,S00597,Jasmine Kaiser,2.57,Engineering,624015
597,S00598,Terrance White,3.63,Biology,501087
598,S00599,Matthew Lyons,2.1,Psychology,607770
599,S00600,Joshua Lee,3.27,Statistics,21535
600,S00601,Jacob Stevens,3.95,Economics,414761
601,S00602,Patricia Peterson,3.58,Anthropology,642144
602,S00603,Sara Figueroa,3.74,Art,396801
603,S00604,Ryan Garcia,3.92,Music,196406
604,S00605,Jake Woodward,2.51,Economics,334770
605,S00606,Richard Odom,2.89,Paralegal,553778
606,S00607,Brian Erickson,3.64,Physics,531582
607,S00608,Eileen Casey,2.37,Anthropology,601134
608,S00609,Ashley Martinez,2.55,Music,669902
609,S00610,Kimberly Hodges,3.58,Music,506068
610,S00611,Isaiah Scott,2.18,Business Administration,30577
611,S00612,Daniel Gonzalez,2.11,Biology,523911
612,S00613,Nicole Taylor,3.65,Anthropology,391566
613,S00614,Caroline Williams,3.94,Statistics,370676
614,S00615,Joann Skinner,2.19,Anthropology,657281
615,S00616,Shannon Elliott,2.98,Computer Science,739930
616,S00617,Laura Choi,2.47,Music,320164
617,S00618,Kayla Horton,2.82,Mathematics,374658
618,S00619,Stephanie Walker,3.45,Political Science,208565
619,S00620,Benjamin Johnson,3.29,Anthropology,146677
620,S00621,Juan Robertson,2.98,Statistics,743318
621,S00622,Edward Nelson,3.78,Political Science,434571
622,S00623,Victoria Brown,2.52,Statistics,327685
623,S00624,Michael Sims,3.54,Statistics,761664
624,S00625,Eric Harmon,2.52,Law,239471
625,S00626,Jesus Flowers,3.86,Political Science,630065
626,S00627,Debra Perez,3.02,Computer Science,628164
627,S00628,Melissa Vargas,2.46,Engineering,669296
628,S00629,John Vasquez,3.12,Chemistry,108905
629,S00630,Chase Herrera,3.89,Statistics,442344
630,S00631,April Collins,2.48,Computer Science,357200
631,S00632,Stephen Hale,3.59,Chemistry,662090
632,S00633,Wayne Stone,3.55,Art,723479
633,S00634,Rebecca Brady,2.61,Economics,163432
634,S00635,Evelyn Navarro,2.91,Chemistry,483150
635,S00636,Heather Donaldson,3.55,Mathematics,400714
636,S00637,Micheal Bailey,3.7,Biology,250288
637,S00638,Tammy Martin,3.69,Music,79175
638,S00639,Nicole Gates,3.03,Engineering,719874
639,S00640,Diana Johnston,3.8,Economics,369615
640,S00641,Morgan Copeland,3.32,Political Science,734078
641,S00642,Alyssa Wallace,3.58,Statistics,182691
642,S00643,Amy Duncan,3.24,Chemistry,772700
643,S00644,Debbie Watson,3.04,Economics,620312
644,S00645,Ronald Cruz,3.39,Art,189919
645,S00646,Bradley Green,2.55,Chemistry,119037
646,S00647,Teresa Hudson,3.23,Computer Science,383981
647,S00648,Anthony Smith,3.63,Business Administration,243765
648,S00649,Ashley Morgan,3.12,Computer Science,738328
649,S00650,Tina Holt,3.98,Engineering,396843
650,S00651,Cody Rodriguez,2.8,Economics,718797
651,S00652,Jill Zimmerman,2.2,Paralegal,198537
652,S00653,Daniel Morris,3.15,Business Administration,595287
653,S00654,Troy Parker,2.01,Chemistry,427224
654,S00655,Angela Burns,3.78,Business Administration,21453
655,S00656,Steven Russell,2.56,Mathematics,373025
656,S00657,Paul Baker,3.92,Law,198471
657,S00658,Dennis Estrada,2.5,Anthropology,326066
658,S00659,Kevin Marquez,3.82,Computer Science,115727
659,S00660,Kimberly Gonzalez,2.52,Business Administration,584769
660,S00661,Rebecca Hernandez,3.29,Political Science,741174
661,S00662,Laura Haynes,3.77,Statistics,743070
662,S00663,Jennifer Perez,3.48,Psychology,50522
663,S00664,John Reed,3.73,Paralegal,602003
664,S00665,David Blackburn,3.21,Business Administration,667748
665,S00666,John White,3.35,Art,661026
666,S00667,Angela Howell,2.74,Music,360774
667,S00668,Richard Macdonald,3.26,Psychology,709694
668,S00669,Bradley Mcguire,3.85,Business Administration,258204
669,S00670,John Weiss,3.54,Paralegal,73727
670,S00671,Jeffrey Jordan,2.11,Computer Science,530790
671,S00672,Crystal Bryan,3.2,Music,280966
672,S00673,William Long,3.15,Computer Science,547103
673,S00674,Shannon King,2.75,Business Administration,672257
674,S00675,Tricia Mendoza,3.96,Political Science,30138
675,S00676,Denise Roberts,3.81,Art,29613
676,S00677,Tony Hall,2.68,Music,302803
677,S00678,Abigail Matthews,3.32,Chemistry,234057
678,S00679,Brianna Brown,2.01,Mathematics,445294
679,S00680,James Olson,2.14,Law,352287
680,S00681,Ronald Hill,3.08,Mathematics,703769
681,S00682,Nancy Wood,3.8,Business Administration,670088
682,S00683,Antonio Bailey,3.49,Statistics,730307
683,S00684,Adam Clark,2.73,Statistics,525135
684,S00685,Scott Thomas,3.72,Mathematics,440372
685,S00686,Scott Wong,2.38,Physics,240453
686,S00687,Brittney Ellis,3.05,Engineering,718920
687,S00688,Mackenzie Rogers,3.86,Business Administration,542202
688,S00689,Shane Maddox,2.51,Statistics,287108
689,S00690,Monica Foley,2.02,Chemistry,152487
690,S00691,Tracey Smith,3.11,Engineering,389318
691,S00692,Christian Cunningham,3.16,Law,452926
692,S00693,Ashley Collins,2.37,Mathematics,227421
693,S00694,Victoria Mcbride,3.3,Business Administration,42264
694,S00695,Jorge Baker,3.74,Chemistry,574032
695,S00696,Felicia Taylor,2.97,Anthropology,475218
696,S00697,Rebecca Phillips,2.26,Business Administration,725900
697,S00698,Nicole Mclaughlin,2.4,Paralegal,447605
698,S00699,James Thomas,2.55,Mathematics,90156
699,S00700,Heather Fields,2.43,Political Science,235766
700,S00701,Elizabeth Mullins,2.26,Physics,388167
701,S00702,Robert Morgan,3.18,Business Administration,99808
702,S00703,Sandra Garcia,2.0,Engineering,713080
703,S00704,Jason Moore,2.57,Business Administration,189388
704,S00705,Walter Novak,2.45,Art,389730
705,S00706,Jennifer Cunningham,2.21,Paralegal,799937
706,S00707,Harold Duncan,2.2,Physics,251412
707,S00708,Morgan Campbell,2.17,Computer Science,759138
708,S00709,Steven Rush,3.17,Chemistry,567319
709,S00710,Katie Rush,3.25,Psychology,346569
710,S00711,Christina Smith,3.74,Paralegal,353534
711,S00712,Ronald Barr,3.87,Business Administration,373237
712,S00713,Tina Fisher,3.28,Business Administration,538449
713,S00714,Anita Reese,2.67,Mathematics,749348
714,S00715,Brian Kim,3.58,Paralegal,78629
715,S00716,Jeffrey Kim,2.46,Music,21010
716,S00717,Tracy Diaz,3.91,Political Science,275785
717,S00718,Douglas Jordan,2.54,Computer Science,431485
718,S00719,Amy Gould,2.66,Statistics,365953
719,S00720,Jeremy Todd,2.3,Economics,649792
720,S00721,Joseph Fitzpatrick,3.44,Engineering,433217
721,S00722,Mary Duffy,3.7,Economics,530733
722,S00723,Lori Eaton,3.89,Political Science,450255
723,S00724,Michael Bass,2.79,Business Administration,241716
724,S00725,Daniel Gray,3.41,Paralegal,462504
725,S00726,Stephanie Thompson,3.98,Music,585775
726,S00727,Kiara White,3.34,Business Administration,74603
727,S00728,Daniel Mathis,2.73,Psychology,282824
728,S00729,Sarah Burns,2.45,Computer Science,513488
729,S00730,Raymond Frazier,2.03,Economics,114562
730,S00731,Cassidy Johnson,2.37,Mathematics,725610
731,S00732,Michelle Ware,2.94,Anthropology,226682
732,S00733,Maxwell Hamilton,3.67,Chemistry,543503
733,S00734,Christopher Williamson,2.67,Music,211510
734,S00735,Destiny Underwood,3.88,Paralegal,582787
735,S00736,Peter Allen,2.09,Mathematics,94997
736,S00737,George Whitaker,3.25,Political Science,372590
737,S00738,Deanna Lara,3.58,Mathematics,274653
738,S00739,Kristina Chavez,2.5,Economics,595597
739,S00740,Tom Ayers,3.82,Business Administration,28115
740,S00741,Annette Benson,2.73,Biology,220174
741,S00742,Susan Marks,2.82,Anthropology,435021
742,S00743,Kathleen Martinez,3.85,Anthropology,456262
743,S00744,Jared Wilson,3.5,Statistics,580986
744,S00745,Cory Schneider,2.32,Physics,761870
745,S00746,Peter Williams,2.84,Computer Science,610881
746,S00747,Kelly Allen,2.16,Chemistry,40185
747,S00748,Dave Klein,3.11,Political Science,410013
748,S00749,Robert Juarez,2.52,Law,413204
749,S00750,Laura Le,3.23,Physics,154251
750,S00751,Hannah Harris,2.93,Statistics,287186
751,S00752,Vincent Smith,3.8,Economics,706074
752,S00753,Melanie Gonzalez,3.0,Biology,428109
753,S00754,Scott Lopez,2.38,Paralegal,587255
754,S00755,Hermione Simmons,3.95,Engineering,747250
755,S00756,Nancy Valdez,3.69,Mathematics,125123
756,S00757,Brian Mack,2.45,Biology,158227
757,S00758,Randy Lyons,2.14,Biology,615929
758,S00759,Judy Sanchez,3.27,Art,648369
759,S00760,Jackie Daniel,2.6,Law,308065
760,S00761,Jay Riley,2.5,Paralegal,587775
761,S00762,Joseph Jones,3.87,Chemistry,149314
762,S00763,Kristin Walton,2.98,Law,144583
763,S00764,Melissa Long,2.26,Anthropology,44707
764,S00765,Crystal Johns,2.27,Computer Science,61945
765,S00766,Jessica Powers,2.48,Biology,112757
766,S00767,Paul Tapia,2.5,Political Science,96499
767,S00768,Shawn Brennan,3.8,Physics,202064
768,S00769,Charles Gross,3.37,Anthropology,779927
769,S00770,Jessica Anderson,3.36,Economics,303476
770,S00771,Peter Guzman,3.45,Political Science,610412
771,S00772,Sonya Costa,3.23,Computer Science,272518
772,S00773,Kimberly Benson,3.13,Law,425419
773,S00774,Katherine Sullivan,2.6,Law,404298
774,S00775,David Stephens,2.27,Business Administration,235566
775,S00776,Ruben Ramsey,3.25,Law,461794
776,S00777,Daniel Rivera,3.56,Political Science,380216
777,S00778,Brenda Anderson,2.65,Physics,609331
778,S00779,Juan Dixon,3.9,Art,406185
779,S00780,Dale Mcclain,3.96,Law,111126
780,S00781,Sandra Todd,2.06,Political Science,37737
781,S00782,Melody Weaver,3.77,Physics,392453
782,S00783,David Smith,3.87,Art,150775
783,S00784,Ashley Crawford,3.54,Law,672861
784,S00785,Oscar Brooks,3.73,Physics,542442
785,S00786,James Parks,3.34,Music,692873
786,S00787,Paul Patel,3.78,Engineering,79562
787,S00788,Rebecca Mcdowell,3.26,Engineering,293983
788,S00789,Sharon Watson,2.28,Music,272100
789,S00790,Anna Wise,3.74,Computer Science,486357
790,S00791,Michael Ayers,2.4,Biology,487842
791,S00792,Martin Porter,2.55,Engineering,178895
792,S00793,Nicole Dixon,2.26,Biology,246501
793,S00794,Christopher Joseph,3.97,Business Administration,581575
794,S00795,Amanda Cabrera,3.0,Law,791840
795,S00796,James Vargas,2.2,Statistics,451228
796,S00797,Mary George,3.27,Psychology,191608
797,S00798,Wesley Gonzalez,2.22,Engineering,743569
798,S00799,Nicole Whitehead,3.04,Chemistry,429105
799,S00800,Trevor Suarez,2.37,Political Science,307665
800,S00801,Christopher Garcia,2.02,Chemistry,206776
801,S00802,Alexandra Cobb,3.29,Physics,395961
802,S00803,Kimberly Moore,2.74,Biology,754323
803,S00804,Christopher Mccann,3.35,Physics,89794
804,S00805,Tonya Black,2.15,Economics,53444
805,S00806,Maria Barnes,2.7,Business Administration,638718
806,S00807,Lisa Kidd,2.21,Law,787503
807,S00808,Mallory Atkinson,2.07,Statistics,785829
808,S00809,Kathy Garcia,2.67,Chemistry,672989
809,S00810,John Scott,2.55,Physics,57705
810,S00811,Deanna Rose,2.88,Law,326606
811,S00812,Jeffrey Johnson,2.48,Economics,396741
812,S00813,Joshua Smith,2.67,Economics,121661
813,S00814,Leroy Obrien,3.7,Music,601404
814,S00815,Jessica Horton,3.67,Psychology,523017
815,S00816,Melanie Smith,3.34,Law,222972
816,S00817,Brandi Pacheco,2.22,Law,621743
817,S00818,Alexis Brown,2.9,Paralegal,178794
818,S00819,Yolanda Lewis,3.63,Business Administration,695300
819,S00820,Sandra Wagner,2.08,Computer Science,769890
820,S00821,Barry Spence,2.33,Mathematics,385063
821,S00822,Amanda Mckee,2.41,Law,138242
822,S00823,Stacie Anderson,4.0,Mathematics,665542
823,S00824,Ashley Barber,3.33,Mathematics,328870
824,S00825,Ryan Bird,3.17,Statistics,459886
825,S00826,Kathryn Robinson,3.71,Paralegal,705837
826,S00827,Jason Schmidt,3.14,Mathematics,168189
827,S00828,Jean Meyer,3.9,Business Administration,329638
828,S00829,Annette Solis,3.79,Political Science,247232
829,S00830,Leah Sanchez,3.15,Computer Science,247687
830,S00831,Lauren Green,2.1,Political Science,334491
831,S00832,Christopher Nelson,2.52,Anthropology,133504
832,S00833,Kim Ramirez,3.88,Mathematics,684629
833,S00834,Timothy Cruz,2.54,Anthropology,519270
834,S00835,Denise Fleming,3.35,Paralegal,86220
835,S00836,Shawn Vance,3.21,Paralegal,39250
836,S00837,David Acosta,2.63,Political Science,688041
837,S00838,Laura Nunez,3.15,Mathematics,477180
838,S00839,Frank Meadows,2.94,Political Science,249271
839,S00840,Amber Coleman,3.41,Biology,216876
840,S00841,Alicia Carter,3.09,Music,715008
841,S00842,Sean Frederick,3.29,Engineering,187098
842,S00843,Geoffrey Allen,2.72,Paralegal,162675
843,S00844,Andrea Decker,3.84,Law,750701
844,S00845,Nancy Zavala,2.2,Chemistry,590283
845,S00846,Kelly Miller,3.18,Mathematics,93637
846,S00847,Daniel Pace,2.87,Psychology,569852
847,S00848,William Robinson,4.0,Physics,23551
848,S00849,Melissa Sutton,3.51,Biology,154168
849,S00850,Janet Ruiz,2.85,Physics,439445
850,S00851,Aaron Flores,3.13,Law,258064
851,S00852,Thomas Mclaughlin,3.79,Statistics,186834
852,S00853,Brian Davis,2.24,Statistics,578365
853,S00854,Alan Roberts,3.04,Engineering,187401
854,S00855,Audrey Hampton,2.42,Engineering,578885
855,S00856,Ashley Stewart,3.41,Art,506456
856,S00857,Tara Spencer,2.43,Mathematics,266795
857,S00858,Manuel Huff,3.36,Economics,286034
858,S00859,Cassandra Baldwin,3.63,Engineering,629585
859,S00860,Martha Austin,2.3,Paralegal,228860
860,S00861,Patrick Johnson,3.16,Mathematics,234937
861,S00862,David David,3.31,Engineering,447290
862,S00863,Jennifer Hall,3.74,Chemistry,201472
863,S00864,Carolyn Holmes,3.21,Chemistry,734949
864,S00865,Lance Martinez,2.5,Statistics,489953
865,S00866,Jenny Underwood,3.2,Music,35849
866,S00867,Meghan Evans,2.55,Chemistry,270535
867,S00868,Michael Best,2.93,Art,141259
868,S00869,John Garcia,3.66,Chemistry,466377
869,S00870,Lauren Parks,2.85,Statistics,143320
870,S00871,Guy Mccarthy,3.99,Paralegal,396880
871,S00872,Brian Scott,3.24,Music,503781
872,S00873,Kendra Cook,2.16,Political Science,735225
873,S00874,John Estrada,2.1,Mathematics,465668
874,S00875,Tammy Oconnell,3.57,Physics,534218
875,S00876,Jacqueline Johnson,2.93,Political Science,522019
876,S00877,John Hendrix,3.27,Business Administration,245040
877,S00878,Julie Noble,2.84,Computer Science,688518
878,S00879,Laura Zimmerman,3.21,Art,684586
879,S00880,Erin Woods,3.91,Psychology,99329
880,S00881,Eileen Hopkins,2.18,Biology,499400
881,S00882,Jenny Velasquez,2.34,Engineering,267201
882,S00883,Jason Ward,3.21,Anthropology,347195
883,S00884,Charles Allison,2.94,Political Science,657757
884,S00885,Valerie Moore,2.67,Statistics,696356
885,S00886,Amber Riley,2.25,Engineering,81088
886,S00887,Abigail Buchanan,3.86,Economics,606648
887,S00888,Martin King,2.96,Computer Science,104197
888,S00889,Heidi Saunders,3.54,Statistics,244470
889,S00890,Jake Hudson,3.02,Biology,784413
890,S00891,Regina Edwards,2.87,Psychology,95713
891,S00892,Paul Mata,2.29,Paralegal,128458
892,S00893,Jennifer Carpenter,2.83,Psychology,716590
893,S00894,Kathy Daniel,3.84,Paralegal,537208
894,S00895,Glen Wilkins,3.8,Law,634565
895,S00896,Dennis Lee,2.9,Biology,149702
896,S00897,Debbie Green,3.17,Chemistry,176081
897,S00898,Jill Hendricks,2.57,Computer Science,486545
898,S00899,Jacob Harrington,3.38,Economics,167549
899,S00900,Dawn Norris,3.96,Music,268266
900,S00901,Ernest Williams,2.59,Psychology,186733
901,S00902,Leah Reyes,3.18,Engineering,778922
902,S00903,Ricky Martinez,2.54,Paralegal,500684
903,S00904,Vincent Anderson,2.65,Mathematics,294714
904,S00905,Cassie Pace,3.23,Engineering,36806
905,S00906,Jaime Barrera,2.56,Anthropology,394268
906,S00907,Eric Rodriguez,2.51,Mathematics,482090
907,S00908,Heidi Benson,3.73,Mathematics,191331
908,S00909,Kimberly Frazier,2.37,Art,428827
909,S00910,Christopher Gonzalez,3.95,Art,566400
910,S00911,Alyssa Hill,2.15,Biology,330027
911,S00912,Yolanda Chandler,2.93,Political Science,169756
912,S00913,Jeffery Andrews,2.84,Chemistry,547507
913,S00914,Jay Taylor,2.46,Computer Science,502097
914,S00915,Sherry Bailey,2.14,Mathematics,124680
915,S00916,Peter Anderson,2.77,Physics,126993
916,S00917,Brittany Patrick,2.28,Business Administration,588807
917,S00918,Gilbert Mata,3.67,Paralegal,492604
918,S00919,Valerie Davis,2.39,Art,153506
919,S00920,Spencer Ball,3.12,Statistics,608566
920,S00921,Holly Davis,3.51,Economics,91520
921,S00922,Laura Good,2.86,Paralegal,216798
922,S00923,James Goodwin,2.25,Mathematics,769245
923,S00924,Nicole Duarte,3.51,Anthropology,293866
924,S00925,Dustin Coleman,2.96,Law,422780
925,S00926,Vanessa Lawrence,2.12,Chemistry,348370
926,S00927,David Simpson,2.49,Paralegal,268629
927,S00928,Lori White,3.48,Chemistry,87088
928,S00929,Vincent Butler,2.43,Law,248589
929,S00930,John Harrison,3.21,Chemistry,523946
930,S00931,David Robinson,3.57,Mathematics,206185
931,S00932,Erin Rich,2.72,Business Administration,114381
932,S00933,Brooke Jones,2.14,Biology,741041
933,S00934,Brandon Morrison,2.72,Paralegal,556690
934,S00935,Travis Bradford,3.97,Art,275915
935,S00936,John Gomez,2.33,Engineering,67698
936,S00937,Melissa Reynolds,2.31,Computer Science,734585
937,S00938,Melissa Hernandez,2.87,Mathematics,675249
938,S00939,Jorge Ibarra,3.78,Engineering,115514
939,S00940,Benjamin Le,3.42,Statistics,215449
940,S00941,Sandra Richard,2.08,Paralegal,499202
941,S00942,Troy Taylor,3.71,Anthropology,496558
942,S00943,Lisa Larson,3.09,Anthropology,80627
943,S00944,Joshua Adams,2.38,Mathematics,555563
944,S00945,Debbie Mcdonald,3.91,Computer Science,673574
945,S00946,David Brown,3.43,Statistics,279314
946,S00947,Walter Davis,2.25,Chemistry,488588
947,S00948,Russell Hill,3.61,Mathematics,271503
948,S00949,Savannah Frank,3.79,Physics,113427
949,S00950,Dustin Bush,2.26,Mathematics,449380
950,S00951,Jessica Harris,3.87,Mathematics,528502
951,S00952,Julia Wang,2.6,Physics,707136
952,S00953,Christopher Hall,2.85,Business Administration,83544
953,S00954,Sabrina Sutton,2.91,Anthropology,86193
954,S00955,Michael Brown,3.56,Music,622965
955,S00956,Laurie Hudson,2.97,Chemistry,785771
956,S00957,Stacy Ayala,2.05,Statistics,568666
957,S00958,Chris Frazier,2.65,Statistics,391315
958,S00959,Todd Johnson,2.18,Law,758977
959,S00960,David Cortez,3.98,Anthropology,501559
960,S00961,Sandra Nelson,3.05,Economics,433399
961,S00962,Richard Hernandez,3.92,Biology,137691
962,S00963,Andrew Davis,3.39,Computer Science,343047
963,S00964,Hannah Moore,3.73,Economics,485666
964,S00965,Katherine Young,3.55,Engineering,207113
965,S00966,Nina Garcia,3.98,Chemistry,391664
966,S00967,Nathan Campos,3.14,Statistics,163152
967,S00968,John Leblanc,3.17,Biology,700825
968,S00969,Kayla Baker,3.39,Biology,175903
969,S00970,Steven Banks,2.84,Physics,141445
970,S00971,Travis Hanson,2.54,Biology,356156
971,S00972,Katie Thompson,2.33,Anthropology,547041
972,S00973,Christopher Ward,3.83,Paralegal,245168
973,S00974,Sarah Miller,3.83,Computer Science,149920
974,S00975,Linda Davis,2.91,Art,636030
975,S00976,Stephen Jackson,3.36,Mathematics,140120
976,S00977,Marc Welch,2.2,Mathematics,63195
977,S00978,James Blackburn,2.09,Chemistry,217866
978,S00979,Brooke Riley,2.87,Mathematics,45813
979,S00980,Amy Thompson,3.18,Business Administration,742350
980,S00981,Sheila Buchanan,3.01,Music,392578
981,S00982,Vanessa Nichols,3.73,Psychology,475220
982,S00983,George Leonard,2.11,Business Administration,527450
983,S00984,Brooke Thomas,3.19,Physics,48447
984,S00985,Carl Kelly,2.62,Physics,76330
985,S00986,Caitlin Morales,3.03,Paralegal,456293
986,S00987,Bradley Banks,3.76,Engineering,104001
987,S00988,Alexis Ellis,2.13,Mathematics,605751
988,S00989,Deanna Cunningham,3.59,Biology,761587
989,S00990,Megan Robinson,3.44,Psychology,594702
990,S00991,Erin Salazar,3.24,Chemistry,102660
991,S00992,Betty Andrews,2.05,Engineering,247151
992,S00993,Leah Manning,3.81,Chemistry,243629
993,S00994,Jocelyn Rice,2.05,Engineering,611764
994,S00995,Christopher Brewer,2.64,Physics,463313
995,S00996,Nicole Clay,3.97,Chemistry,353792
996,S00997,Tammy Rose,3.34,Computer Science,414283
997,S00998,Jeff Alvarez,3.96,Psychology,450287
998,S00999,Thomas Lowe,3.02,Business Administration,54775
999,S01000,Veronica Barker,3.29,Anthropology,270061
